Downloaded from wid.world on 20-02-2020 at 20:07:48
Percentile;Year;"shweal_z_CN
Net personal wealth
Top 1% | share
China";"shweal_z_KR
Net personal wealth
Top 1% | share
Korea";"shweal_z_RU
Net personal wealth
Top 1% | share
Russian Federation";"shweal_z_CN-UR
Net personal wealth
Top 1% | share
Urban China";"shweal_z_IN
Net personal wealth
Top 1% | share
India";"shweal_z_CN-RU
Net personal wealth
Top 1% | share
Rural China";"shweal_z_US
Net personal wealth
Top 1% | share
USA";"shweal_z_GB
Net personal wealth
Top 1% | share
United Kingdom";"shweal_z_FR
Net personal wealth
Top 1% | share
France"
p99p100;1951;;;;;;;0.2883;0.41850001;0.3272
p99p100;1952;;;;;;;0.2848;0.38780001;0.3206
p99p100;1953;;;;;;;0.2723;0.38890001;0.31900001
p99p100;1954;;;;;;;0.2788;0.4093;0.30430001
p99p100;1955;;;;;;;0.2814;0.3786;0.31079999
p99p100;1956;;;;;;;0.2848;0.37909999;0.31330001
p99p100;1957;;;;;;;0.2811;0.36570001;0.33239999
p99p100;1958;;;;;;;0.2768;0.35280001;0.31119999
p99p100;1959;;;;;;;0.2828;0.36090001;0.3256
p99p100;1960;;;;;;;0.2826;0.3504;0.3143
p99p100;1961;;;;;0.1187;;0.2842;0.34029999;
p99p100;1962;;;;;;;0.3004;0.3276;0.32010001
p99p100;1963;;;;;;;0.2808;0.3238;
p99p100;1964;;;;;;;0.2969;0.32069999;0.32550001
p99p100;1965;;;;;;;0.2755;0.30939999;0.3186
p99p100;1966;;;;;;;0.2901;0.29269999;0.30489999
p99p100;1967;;;;;;;0.2865;0.29910001;0.292
p99p100;1968;;;;;;;0.305;0.3053;0.25709999
p99p100;1969;;;;;;;0.2893;0.27599999;0.2333
p99p100;1970;;;;;;;0.2809;0.2739;0.2033
p99p100;1971;;;;;0.1123;;0.2766;0.26730001;0.19840001
p99p100;1972;;;;;;;0.2745;0.28349999;0.1979
p99p100;1973;;;;;;;0.2594;0.2667;0.1978
p99p100;1974;;;;;;;0.2457;0.2367;0.1913
p99p100;1975;;;;;;;0.2385;0.22130001;0.1868
p99p100;1976;;;;;;;0.2291;0.2308;0.183
p99p100;1977;;;;;;;0.2312;0.20630001;0.1787
p99p100;1978;0.15800001;;;0.15800001;;0.15800001;0.2196;0.2115;0.176
p99p100;1979;0.15800001;;;0.15800001;;0.15800001;0.2327;0.18529999;0.1744
p99p100;1980;0.15800001;;;0.15800001;;0.15800001;0.2355;0.1875;0.17209999
p99p100;1981;0.15800001;;;0.15800001;0.125;0.15800001;0.2442;0.17389999;0.16670001
p99p100;1982;0.15800001;;;0.15800001;;0.15800001;0.2469;0.17200001;0.1618
p99p100;1983;0.15800001;;;0.15800001;;0.15800001;0.2374;0.17460001;0.1593
p99p100;1984;0.15800001;;;0.15800001;;0.15800001;0.2387;0.1522;0.15800001
p99p100;1985;0.15800001;;;0.15800001;;0.15800001;0.2428;0.1578;0.16140001
p99p100;1986;0.15800001;;;0.15800001;;0.15800001;0.2406;0.163;0.1679
p99p100;1987;0.15800001;;;0.15800001;;0.15800001;0.2534;0.16670001;0.1706
p99p100;1988;0.15800001;;;0.15800001;;0.15800001;0.2719;0.152;0.1737
p99p100;1989;0.15800001;;;0.15800001;;0.15800001;0.273;0.16590001;0.17659999
p99p100;1990;0.15800001;;;0.15800001;;0.15800001;0.2743;0.1635;0.1718
p99p100;1991;0.15800001;;;0.15800001;0.1611;0.15800001;0.2688;0.1558;0.18089999
p99p100;1992;0.15800001;;;0.15800001;;0.15800001;0.2862;0.1699;0.175
p99p100;1993;0.15800001;;;0.15800001;;0.15800001;0.2883;0.1829;0.18790001
p99p100;1994;0.15800001;;;0.15800001;;0.15800001;0.2884;0.17649999;0.19320001
p99p100;1995;0.15800001;;0.215;0.15800001;;0.15800001;0.2914;0.16230001;0.1964
p99p100;1996;0.1701;;0.2342;0.1701;;0.1701;0.3002;0.1655;0.2332
p99p100;1997;0.17919999;;0.31510001;0.17919999;;0.17919999;0.3097;0.1927;0.25310001
p99p100;1998;0.18629999;;0.3574;0.18629999;;0.18629999;0.3261;0.1996;0.26699999
p99p100;1999;0.1919;;0.41249999;0.1919;;0.1919;0.339;0.193;0.2784
p99p100;2000;0.1965;0.2211;0.39179999;0.1965;;0.1965;0.3444;0.185;0.2811
p99p100;2001;0.20029999;0.2413;0.4289;0.20029999;;0.20029999;0.3337;0.1886;0.2705
p99p100;2002;0.2035;0.2192;0.38479999;0.2035;0.2437;0.2035;0.3227;0.1805;0.25400001
p99p100;2003;0.205;0.2378;0.42730001;0.205;;0.205;0.3215;0.1679;0.2462
p99p100;2004;0.2245;0.25119999;0.43079999;0.2245;;0.2245;0.3317;;0.2376
p99p100;2005;0.237;0.2694;0.40450001;0.237;;0.237;0.3353;0.1877;0.2251
p99p100;2006;0.26199999;0.21789999;0.36719999;0.26199999;;0.26199999;0.3409;0.1987;0.22130001
p99p100;2007;0.28479999;0.25780001;0.35960001;0.28479999;;0.28479999;0.351;;0.2237
p99p100;2008;0.29249999;;0.39320001;0.29249999;;0.29249999;0.3738;;0.2159
p99p100;2009;0.3116;;0.3175;0.3116;;0.3116;0.3734;0.2058;0.21699999
p99p100;2010;0.30450001;0.25189999;0.34279999;0.30450001;;0.30450001;0.39;;0.2351
p99p100;2011;0.27919999;0.2324;0.35980001;0.27919999;;0.27919999;0.3883;;0.2298
p99p100;2012;0.27250001;0.2692;0.3547;0.27250001;0.30689999;0.27250001;0.401;0.1988;0.2236
p99p100;2013;0.27250001;0.2498;0.35460001;0.27250001;;0.27250001;0.3828;;0.229
p99p100;2014;0.27829999;;0.3691;0.27829999;;0.27829999;0.3856;;0.23379999
p99p100;2015;0.29629999;;0.4258;0.29629999;;0.29629999;;;
